"Type","Subline Code","Tariff","No Pass","Class","Unit","2015","2014","2013","2012","2011","2010","2009","2008","Body Type"
"BMW","PC","1","5","B","BMW 325I CONVERTIBLE M SPORT A/T","0","0","4750000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 325I COUPE  A/T","0","0","0","0","0","0","2240000","0","SEDAN"
"BMW","PC","1","5","B","BMW 328I 2.0 SPORT A/T","0","0","3405000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 335I CONV A/T","0","0","0","0","3855000","3395000","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 335I 3.0 COUPE A/T","0","0","0","0","0","0","2620000","2310000","SEDAN"
"BMW","PC","1","4","C","BMW 335I 6 SPD 3.0 CONV A/T","0","0","0","4280000","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 335I CONVERT  A/T","0","0","0","0","0","0","2935000","2585000","SEDAN"
"BMW","PC","1","5","B","BMW 520D  A/T","0","0","0","0","0","2895000","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 520D 2.0  A/T","0","4395000","3870000","3405000","3000000","0","2355000","2075000","SEDAN"
"BMW","PC","1","5","B","BMW 520I 2.0  A/T","0","0","0","0","0","2825000","2500000","2200000","SEDAN"
"BMW","PC","1","5","B","BMW 523I 2.5 8 SPD A/T","0","4745000","4180000","3675000","0","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 523I 2.5 EXEC A/T","0","0","0","0","0","0","0","2185000","SEDAN"
"BMW","PC","1","5","B","BMW 523I 2.5  A/T","0","0","0","0","3465000","3050000","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 525D TOUR A/T","0","0","0","0","0","3530000","0","2735000","SEDAN"
"BMW","PC","1","5","B","BMW 525I  A/T","0","0","0","0","0","0","2620000","0","SEDAN"
"BMW","PC","1","5","B","BMW 525I 2.5  A/T","0","0","0","0","0","3465000","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 528I  A/T","0","0","0","0","3125000","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 528I 2.0 8 SPD A/T","0","0","0","4280000","0","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 528I 3.0 8 SPD A/T","0","5275000","4645000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 530D 3.0 8 SPD A/T","0","5625000","4955000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 530D 3.0 EXEC A/T","0","0","0","0","0","0","0","2460000","SEDAN"
"BMW","PC","1","5","C","BMW 530D 3.0 SPORT A/T","0","0","0","0","0","3725000","3280000","2885000","SEDAN"
"BMW","PC","1","5","C","BMW 530D 3.0 TOUR A/T","0","0","0","0","0","0","2735000","0","SEDAN"
"BMW","PC","1","5","C","BMW 530D 3.0  A/T","0","0","0","4560000","4015000","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 530D GT 3.0 8 SPD A/T","0","0","5540000","4880000","0","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 535I","0","0","0","0","2900000","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 550I  A/T","0","0","0","0","0","0","0","2170000","SEDAN"
"BMW","PC","1","4","C","BMW 630I COUPE A/T","0","0","0","0","0","4175000","3675000","0","SEDAN"
"BMW","PC","1","4","C","BMW 640I CONVERTIBLE 8 SPD A/T","0","0","6895000","0","0","0","0","0","COUPE"
"BMW","PC","1","4","C","BMW 640I COUPE 8 SPD A/T","0","6945000","6115000","0","0","0","0","0","COUPE"
"BMW","PC","1","4","C","BMW 640I GRAN COUPE 8 SPD A/T","0","6860000","6040000","0","0","0","0","0","COUPE"
"BMW","PC","1","4","C","BMW 6501 8 SPD 3.0 CONV A/T","0","0","0","6210000","0","0","0","0","SEDAN"
"BMW","PC","1","4","C","BMW 650I CONVERTIBLE V8 A/T","0","9420000","8290000","0","0","0","0","0","SEDAN"
"BMW","PC","1","4","C","BMW 650I V8 5.0 CONV A/T","0","0","0","7635000","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 730D 3.0  A/T","0","7210000","6345000","5585000","4915000","4325000","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 730I  A/T","0","0","0","0","5590000","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 730LI 3.0 6 SPD A/T","0","7300000","6425000","5915000","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 730LI 3.0  A/T","0","0","0","0","0","0","0","3535000","SEDAN"
"BMW","PC","1","5","C","BMW 730LI BUSINE  A/T","0","0","0","0","0","0","0","2790000","SEDAN"
"BMW","PC","1","5","C","BMW 740 LI  A/T","0","0","0","0","6235000","5490000","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 740LI 3.0 6 SPD A/T","0","8355000","7355000","6775000","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 750 LI 4.8  A/T","0","0","0","0","6875000","6055000","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 750LI  A/T","0","0","0","0","0","0","0","4970000","SEDAN"
"BMW","PC","1","5","C","BMW 750LI 3.0 6 SPD V8 A/T","0","9860000","8680000","0","0","0","0","0","SEDAN"
"BMW","PC","1","4","C","BMW 750LI V8 4.4 6 SPD A/T","0","0","0","7995000","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 760LI  A/T","0","0","0","0","0","0","0","7195000","SEDAN"
"BMW","PC","1","2","C","BMW M COUPE  M/T","0","0","0","0","0","0","0","2700000","HATCHBACK"
"BMW","PC","1","2","C","BMW M ROADSTER CONV M/T","0","0","0","0","0","0","0","2835000","ROADSTER"
"BMW","PC","1","5","C","BMW M3 CONV M/T","0","0","0","0","5590000","4920000","0","0","SEDAN"
"BMW","PC","1","5","C","BMW M3 COUPE M/T","0","0","0","0","5370000","4730000","0","0","SEDAN"
"BMW","PC","1","5","C","BMW M3 CONVERTIBLE V8 M/T","0","7660000","6745000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW M3 COUPE COUPE M/T","0","0","0","0","0","0","0","3255000","SEDAN"
"BMW","PC","1","5","C","BMW M3 COUPE V8 M/T","0","7350000","6470000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW M3 COUPE  M/T","0","0","0","0","0","0","3820000","0","SEDAN"
"BMW","PC","1","4","C","BMW M3 DCT 4.0 7 SPD M/T","0","0","0","5965000","0","0","0","0","COUPE"
"BMW","PC","1","4","C","BMW M3 DCT 7 SPD 4.0 COUPE M/T","0","0","0","6210000","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW M5  A/T","0","0","0","0","0","6590000","5800000","5105000","SEDAN"
"BMW","PC","1","5","C","BMW M5 TOURING WAGON A/T","0","0","0","0","0","0","5735000","0","SEDAN"
"BMW","PC","1","5","C","BMW M5 TOURING  A/T","0","0","0","0","0","0","0","4880000","WAGON"
"BMW","PC","1","5","C","BMW M5 V8 7 SPD A/T","0","9675000","8515000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW M5 WAGON TOUR A/T","0","0","0","0","0","6745000","0","0","SEDAN"
"BMW","PC","1","5","B","BMW X1 18D  A/T","0","0","0","0","2120000","0","0","0","SUV"
"BMW","PC","1","5","B","BMW X1 18D 2.0 6 SPD A/T","0","0","0","2350000","0","0","0","0","SUV"
"BMW","PC","1","5","B","BMW X1 18D M SPORT 2.0 6 SPD A/T","0","0","0","2495000","0","0","0","0","SUV"
"BMW","PC","1","5","B","BMW X1 18I  A/T","0","0","0","0","2040000","2040000","0","0","SUV"
"BMW","PC","1","5","B","BMW X1 20D  A/T","0","0","0","0","2315000","0","0","0","SUV"
"BMW","PC","1","5","B","BMW X1 20D 2.0 6 SPD A/T","0","0","0","2570000","0","0","0","0","SUV"
"BMW","PC","1","5","B","BMW X1 SDRIVE 18D 6 SPD A/T","0","2635000","0","0","0","0","0","0","SUV"
"BMW","PC","1","5","B","BMW X1 SDRIVE 18D SLINE 6 SPD A/T","0","2900000","0","0","0","0","0","0","SUV"
"BMW","PC","1","5","B","BMW X1 SDRIVE 18I 2.0 6 SPD A/T","0","0","0","2140000","0","0","0","0","SUV"
"BMW","PC","1","5","B","BMW X1 SDRIVE 18I XLINE  A/T","0","2900000","0","0","0","0","0","0","SUV"
"BMW","PC","1","5","B","BMW X3 1.8D  A/T","0","3075000","0","0","0","0","0","0","SUV"
"BMW","PC","1","5","B","BMW X3 2.0  A/T","0","0","3095000","2725000","0","0","0","0","SUV"
