"Type","Subline Code","Tariff","No Pass","Class","Unit","2015","2014","2013","2012","2011","2010","2009","2008","Body Type"
"CHEVROLET","PC","1","5","A","CHEVROLET SONIC 1.4 LTZ 5-DR A/T","838888","740000","650000","0","0","0","0","0","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SONIC 1.4 LTZ 5-DR M/T","0","695000","615000","540000","0","0","0","0","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SONIC 1.4 LTZ  A/T","828888","0","0","0","0","0","0","0","NOTCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SONIC 1.4 LTZ  M/T","778888","0","0","0","0","0","0","0","NOTCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SPARK 1.0  A/T","598888","530000","480000","0","0","0","0","0","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SPARK 1.0  M/T","548888","485000","0","0","0","0","0","0","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SPARK 1.0 5DR 4-CYL M/T","0","0","440000","0","0","0","0","0","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SPARK 1.0L  A/T","0","0","0","425000","375000","0","0","0","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SPARK 1.0L  M/T","0","0","0","0","355000","315000","275000","245000","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SPARK 1.0L 5DR 4-CYL M/T","0","0","0","400000","0","0","0","0","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SPARK 1.2 5DR 4-CYL M/T","0","0","480000","0","0","0","0","0","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SPARK 1.2L  M/T","0","0","0","0","385000","0","0","0","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET SPARK 1.2L 5DR 4-CYL M/T","0","0","0","435000","0","0","0","0","HATCHBACK"
"CHEVROLET","PC","1","7","A","CHEVROLET SPIN 1.3 LS A/T","0","740000","0","0","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","A","CHEVROLET SPIN 1.3 LS M/T","838888","740000","650000","0","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","A","CHEVROLET SPIN 1.3 LTZ A/T","0","820000","0","0","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","A","CHEVROLET SPIN 1.3 LTZ M/T","928888","0","0","0","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","A","CHEVROLET SPIN 1.5 LTZ A/T","858888","760000","665000","0","0","0","0","0","SUV"
"CHEVROLET","PC","1","8","C","CHEVROLET SUBURBAN 4X2 A/T","0","0","0","0","2645000","0","0","0","SUV"
"CHEVROLET","PC","1","8","C","CHEVROLET SUBURBAN 5.3 A/T","0","0","0","0","0","1975000","0","0","SUV"
"CHEVROLET","PC","1","8","C","CHEVROLET SUBURBAN 5.3L A/T","0","0","0","0","0","0","1865000","0","SUV"
"CHEVROLET","PC","1","7","C","CHEVROLET SUBURBAN 5.8L A/T","0","0","0","0","0","0","0","1585000","SUV"
"CHEVROLET","PC","1","8","C","CHEVROLET SUBURBAN 5.3 4X2 A/T","0","0","0","2615000","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET SUBURBAN 5.3 4X4 A/T","0","0","0","2860000","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET TAHOE 5.3 4X2 A/T","0","0","0","2500000","2205000","0","1705000","1535000","IMPORTED SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET TAHOE 5.3 4X4 A/T","0","0","0","2400000","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","C","CHEVROLET TRAILBLAZER 4X2 A/T","0","0","0","0","0","0","0","985000","SUV"
"CHEVROLET","PC","1","7","C","CHEVROLET TRAILBLAZER 4X4 A/T","0","0","0","0","0","0","0","1075000","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET TRAILBLAZER 2.5 4X2 M/T","0","0","1090000","960000","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET TRAILBLAZER 2.5 LT 4X2 M/T","1378888","0","0","0","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET TRAILBLAZER 2.8 4X2 A/T","0","1315000","0","0","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET TRAILBLAZER 2.8 4X4 A/T","0","0","1365000","0","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET TRAILBLAZER 2.8 LT 4X2 A/T","1488888","0","0","0","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","A","CHEVROLET TRAILBLAZER 2.8 LTX 4X2 A/T","1588888","1400000","0","0","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET TRAILBLAZER 2.8 LTZ 4X4 A/T","1733888","0","0","0","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","A","CHEVROLET TRAVERSE 3.6 4X2 A/T","3088888","0","2395000","2105000","0","0","0","0","SUV"
"CHEVROLET","PC","1","7","A","CHEVROLET TRAVERSE 3.6 4X4 A/T","3488888","0","0","2380000","0","0","0","0","SUV"
"FORD","PC","1","5","C","FORD CHATEAU 4.6 E-150 A/T","0","0","0","1435000","0","1115000","0","890000","SUV"
"FORD","PC","1","7","C","FORD CLUBWAGON 4.6 E-150 A/T","0","0","1605000","1415000","1285000","0","1000000","0","SUV"
"FORD","PC","1","5","A","FORD ECOSPORT 1.5 AMBIENT  M/T","775000","685000","0","0","0","0","0","0","SUV"
"FORD","PC","1","5","A","FORD ECOSPORT 1.5 TITANIU PS A/T","985000","870000","0","0","0","0","0","0","SUV"
"FORD","PC","1","5","A","FORD ECOSPORT 1.5 TREND PS A/T","875000","775000","0","0","0","0","0","0","SUV"
"FORD","PC","1","5","A","FORD ECOSPORT 1.5 TREND  M/T","825000","730000","0","0","0","0","0","0","SUV"
"FORD","PC","1","5","B","FORD ESCAPE 1.6 ECOBOOST SE A/T","1490000","0","0","0","0","0","0","0","SUV"
"FORD","PC","1","5","B","FORD ESCAPE 2.0 TITANIUM ECO A/T","1790000","0","0","0","0","0","0","0","SUV"
"FORD","PC","1","5","B","FORD ESCAPE 2.3 4X2 XLS A/T","0","0","845000","745000","0","0","0","0","SUV"
"FORD","PC","1","5","B","FORD ESCAPE 2.3 4X2 XLT A/T","0","0","0","815000","0","0","0","0","SUV"
"FORD","PC","1","0","B","FORD ESCAPE 2.3 4X2 W/DVD XLS A/T","0","0","0","810000","0","0","0","0","SUV"
"FORD","PC","1","5","B","FORD ESCAPE 2.3 4X2 W/DVD XLT A/T","0","0","0","870000","0","0","0","0","SUV"
"FORD","PC","1","0","B","FORD ESCAPE 2.3 4X2 W/IP XLT A/T","0","0","0","860000","0","0","0","0","SUV"
"FORD","PC","1","5","B","FORD ESCAPE 2.3 4X4 W/DVD XLT A/T","0","0","0","900000","0","0","0","0","SUV"
"FORD","PC","1","5","B","FORD ESCAPE 4X2 XLS A/T","0","0","0","0","685000","605000","535000","470000","SUV"
"FORD","PC","1","5","B","FORD ESCAPE 4X2 XLT A/T","0","0","0","0","605000","605000","535000","470000","SUV"
"FORD","PC","1","5","B","FORD ESCAPE 4X4 XLT A/T","0","0","0","0","0","720000","635000","560000","SUV"
"FORD","PC","1","5","B","FORD ESCAPE 4X4 ICE XLT A/T","0","0","0","930000","0","0","0","0","SUV"
"FORD","PC","1","5","B","FORD EVEREST 2.5 4X2 A/T","0","0","0","0","0","780000","690000","605000","SUV"
"FORD","PC","1","5","B","FORD EVEREST 2.5 4X2 M/T","0","0","0","0","880000","775000","685000","600000","SUV"
"FORD","PC","1","5","B","FORD EVEREST 2.5 4X2 I A/T","0","0","0","0","1010000","890000","785000","0","SUV"
"FORD","PC","1","5","B","FORD EVEREST 2.5 4X2 I M/T","0","0","0","0","920000","810000","715000","0","SUV"
"FORD","PC","1","5","B","FORD EVEREST 2.5 4X2 L A/T","0","0","0","0","980000","865000","0","0","SUV"
"FORD","PC","1","5","B","FORD EVEREST 2.5 4X2IL A/T","0","0","0","0","0","865000","0","0","SUV"
"FORD","PC","1","7","B","FORD EVEREST 2.5 4X2  M/T","0","0","1090000","0","0","0","0","0","SUV"
"FORD","PC","1","7","B","FORD EVEREST 2.5 4X2 XLT  A/T","1390000","1225000","0","0","0","0","0","0","SUV"
"FORD","PC","1","7","B","FORD EVEREST 2.5 4X2 XLT  M/T","1290000","1140000","0","0","0","0","0","0","SUV"
"FORD","PC","1","1","B","FORD EVEREST 2.5 ICE 4X2 W/DVD A/T","0","0","0","1075000","0","0","0","0","SUV"
"FORD","PC","1","7","B","FORD EVEREST 2.5 ICE 4X2 W/DVD M/T","0","0","0","1030000","0","0","0","0","SUV"
"FORD","PC","1","7","B","FORD EVEREST 2.5 ICE LTD W/DVD A/T","0","0","0","1135000","0","0","0","0","SUV"
"FORD","PC","1","7","B","FORD EVEREST 2.5 ICE LTD  A/T","0","1415000","0","0","0","0","0","0","SUV"
"FORD","PC","1","5","B","FORD EVEREST 2.5 LTD 4X2 A/T","0","0","0","1100000","0","0","0","0","SUV"
"FORD","PC","1","7","B","FORD EVEREST 2.5 XLT 4X2 A/T","0","0","0","1025000","0","0","0","0","SUV"
"FORD","PC","1","7","B","FORD EVEREST 2.5 XLT 4X2 M/T","0","0","0","970000","0","0","0","0","SUV"
"FORD","PC","1","7","B","FORD EVEREST 2.5 XLT ICE 4X2 M/T","0","1265000","1115000","0","0","0","0","0","SUV"
"FORD","PC","1","7","B","FORD EVEREST 2.5 XLT LTD 4X2 A/T","0","1360000","1200000","0","0","0","0","0","SUV"
"FORD","PC","1","5","C","FORD EVEREST 3.0 4X4 A/T","0","0","0","0","1115000","0","835000","735000","SUV"
"FORD","PC","1","5","C","FORD EVEREST 3.0 4X4 L A/T","0","0","0","0","0","950000","0","0","SUV"
"FORD","PC","1","7","C","FORD EVEREST 3.0 ICE 4X4 L A/T","0","0","1340000","1180000","0","0","0","0","SUV"
"FORD","PC","1","10","C","FORD EXPEDITION EB4X4 A/T","0","0","0","0","0","1805000","1590000","1400000","SUV"
"FORD","PC","1","10","C","FORD EXPEDITION XLT A/T","0","0","0","0","0","0","0","735000","SUV"
"FORD","PC","1","8","C","FORD EXPEDITION EL 5.4 EB4X4 A/T","0","0","0","2355000","0","0","0","0","SUV"
"FORD","PC","1","8","C","FORD EXPEDITION EL 5.4STD EB4X4 A/T","0","0","0","2140000","0","0","0","0","SUV"
"FORD","PC","1","10","C","FORD EXPEDITION XLT EL 4X4 A/T","3339000","2940000","2590000","0","2005000","0","0","0","SUV"
"FORD","PC","1","8","C","FORD EXPLORER 2.0 LTD ECO 4X2 A/T","2445000","0","0","0","0","0","0","0","SUV"
"FORD","PC","1","8","C","FORD EXPLORER 2.0 XLT ECO GTDI A/T","0","0","0","1615000","0","0","0","0","SUV"
"FORD","PC","1","8","B","FORD EXPLORER EB 4X2 A/T","0","0","0","0","1465000","1290000","1135000","1005000","SUV"
"FORD","PC","1","8","C","FORD EXPLORER ECOBOOST SPORT A/T","2799000","0","0","0","0","0","0","0","SUV"
"FORD","PC","1","8","C","FORD EXPLORER EDDIE BAUER 4.0 A/T","0","0","0","1715000","0","0","0","0","SUV"
"FORD","PC","1","8","C","FORD EXPLORER LIMITED 3.5 4X4 A/T","0","0","0","1690000","0","0","0","0","SUV"
"FORD","PC","1","8","B","FORD EXPLORER LTD 2.0 ECO 4X2 A/T","0","2110000","1860000","0","0","0","0","0","SUV"
"FORD","PC","1","8","C","FORD EXPLORER LTD 3.5 4X4 A/T","2695000","2375000","2090000","0","0","0","0","0","SUV"
"FORD","PC","1","8","C","FORD EXPLORER XLT 3.5 4X4 A/T","0","0","0","1730000","0","0","0","0","SUV"
"FORD","PC","1","5","C","FORD F-150 RAPTOR 4.6 A/T","0","0","3415000","3010000","0","0","0","0","PICK-UP"
"FORD","PC","1","5","A","FORD FIESTA  A/T","0","0","0","0","0","455000","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FIESTA  M/T","0","0","0","0","0","385000","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FIESTA 1.0 ECOBOOST SPORT A/T","898000","795000","0","0","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FIESTA 1.4 STYLE M/T","0","0","0","0","440000","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FIESTA 1.4 4DR STYLE M/T","0","0","545000","0","0","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FIESTA 1.4 4DR TREND M/T","0","0","515000","0","0","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FIESTA 1.4 4DR LOW STYLE M/T","0","0","0","490000","0","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FIESTA 1.4 4DR MID TREND M/T","0","0","0","495000","0","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FIESTA 1.4 5DR TREND A/T","0","0","590000","535000","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FIESTA 1.4 5DR TREND M/T","0","0","555000","505000","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FIESTA 1.5 TREND M/T","748000","660000","0","0","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FIESTA 1.5 AMBIENTE  M/T","698000","615000","0","0","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FIESTA 1.5 SPORT PS A/T","868000","765000","0","0","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FIESTA 1.5 TREND PS A/T","798000","705000","0","0","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FIESTA 1.6 TREND A/T","0","0","630000","0","490000","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FIESTA 1.6 4DR PS TREND A/T","0","0","0","555000","0","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FIESTA 1.6 5DR SPORT A/T","0","0","685000","0","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FIESTA 1.6 5DR TREND A/T","0","0","670000","0","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FIESTA 1.6 5DR P5 SPORT A/T","0","0","0","595000","0","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FIESTA 1.6 5DR PS TREND A/T","0","0","0","560000","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FIESTA 4DR TREND M/T","0","0","0","0","445000","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FIESTA 5DR TREND M/T","0","0","0","0","445000","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FOCUS 1.6 TREND A/T","998000","880000","0","0","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FOCUS 1.6 AMBIENTE TIVCT M/T","0","0","685000","0","0","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FOCUS 1.6 AMBIENTE  A/T","938000","830000","740000","0","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FOCUS 1.6 AMBIENTE  M/T","859000","760000","0","0","0","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FOCUS 1.6 TREND TIVCT A/T","0","0","790000","0","0","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 1.8 4DR M/T","0","0","0","0","0","0","0","340000","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 1.8 TREND A/T","0","0","0","620000","550000","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 1.8 4DR TREND A/T","0","0","0","620000","0","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 1.8 4DR TREND M/T","0","0","0","575000","0","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 1.8 5DR TREND A/T","0","0","0","620000","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","B","FORD FOCUS 1.8 HB TREND A/T","0","0","0","0","555000","490000","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 1.8L 5-DR A/T","0","0","0","0","0","0","0","365000","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 1.8L CORE M/T","0","0","0","0","0","445000","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 1.8L GHIA A/T","0","0","0","0","0","0","0","365000","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 1.8L STYLE M/T","0","0","0","0","0","0","395000","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 1.8L TREND A/T","0","0","0","0","0","0","415000","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 1.8L TREND M/T","0","0","0","0","0","445000","395000","0","SEDAN"
"FORD","PC","1","5","C","FORD FOCUS 2.0 GHIA A/T","0","0","0","665000","0","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 2.0 ICA A/T","0","0","0","800000","0","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 2.0 PETRO A/T","0","0","0","665000","0","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 2.0 4D GAS A/T","0","0","0","0","635000","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 2.0 4D TDCI A/T","0","0","0","0","775000","0","0","0","SEDAN"
"FORD","PC","1","5","C","FORD FOCUS 2.0 HB SPORT A/T","0","0","0","665000","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","B","FORD FOCUS 2.0 HB TDCI A/T","0","0","0","800000","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","A","FORD FOCUS 2.0 SPORT 5-DR A/T","1228000","1085000","0","0","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","B","FORD FOCUS 2.0 SPORT TIVCT A/T","0","0","955000","0","0","0","0","0","HATCHBACK"
"FORD","PC","1","5","B","FORD FOCUS 2.0 TDCI GHIA A/T","0","0","0","800000","0","0","0","0","SEDAN"
"FORD","PC","1","5","A","FORD FOCUS 2.0 TITANIUM 4-DR A/T","1228000","1085000","0","0","0","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 2.0 TITANIUM TIVCT A/T","0","0","955000","0","0","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 2.0L GHIA A/T","0","0","0","0","0","560000","495000","435000","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 2.0L SPORT A/T","0","0","0","0","0","560000","0","435000","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 2.0L SPORT M/T","0","0","0","0","0","0","485000","430000","SEDAN"
"FORD","PC","1","5","B","FORD FOCUS 2.0L TDCI M/T","0","0","0","0","0","660000","585000","515000","SEDAN"
"FORD","PC","1","5","B","FORD MUSTANG 3.7 V6 COUPE A/T","0","0","1940000","0","0","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD MUSTANG 5.0 GT SVP A/T","0","0","2380000","2095000","0","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD MUSTANG 5.0 V8 GT A/T","2899000","2555000","2245000","0","0","0","0","0","SEDAN"
"FORD","PC","1","5","B","FORD R. TREKKER 4X2 A/T","0","0","0","0","0","600000","530000","465000","SUV"
"FORD","PC","1","5","B","FORD R. TREKKER 4X2 M/T","0","0","0","0","0","575000","510000","450000","SUV"
"FORD","PC","1","5","B","FORD R. WILDTRAK 4X2 A/T","0","0","0","0","0","635000","560000","0","PICK-UP"
"FORD","PC","1","5","B","FORD R. WILDTRAK 4X2 M/T","0","0","0","0","0","605000","535000","470000","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER 2.2 4X2 BASE M/T","859000","0","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER 2.2 XL 4X2 M/T","0","0","765000","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER 2.2 XL 4X2 BASE M/T","0","0","685000","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","C","FORD RANGER 2.2 XL 4X2 TDCI M/T","0","0","0","610000","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER 2.2 XL 4X2  M/T","959000","0","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER 2.2 XL 4X4  M/T","1189000","1050000","925000","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER 2.2 XLT 4X2  A/T","0","1030000","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER 2.2 XLT 4X2  M/T","1099000","0","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER 2.5L BASE M/T","0","0","0","0","0","480000","425000","0","PICK-UP"
"FORD","PC","1","5","C","FORD RANGER 3.0 XLT 4X4 TDCI A/T","0","0","0","1030000","0","0","0","0","PICK-UP"
"FORD","PC","1","5","C","FORD RANGER 3.0 XLT 4X4 TDCI M/T","0","0","0","980000","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER 3.0L 4X4 A/T","0","0","0","0","930000","820000","725000","635000","SUV"
"FORD","PC","1","5","B","FORD RANGER 3.0L 4X4 M/T","0","0","0","0","0","795000","700000","620000","PICK-UP"
"FORD","PC","1","5","C","FORD RANGER 4X2 WILD TRAK TDCI A/T","0","0","0","815000","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER 4X2 WILD TRAK TDCI M/T","0","0","0","780000","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER FURY 4X4 A/T","0","0","0","0","0","815000","0","0","SUV"
"FORD","PC","1","5","B","FORD RANGER FURY 4X4 M/T","0","0","0","0","0","775000","0","0","SUV"
"FORD","PC","1","5","B","FORD RANGER HI-RIDER XLT A/T","0","1015000","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER HI-RIDER XLT M/T","0","945000","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER TREKKER 4X2 4X2 A/T","0","0","0","0","665000","0","0","0","PICK-UP"
"FORD","PC","1","5","C","FORD RANGER TREKKER 4X2 TDCI A/T","0","0","0","780000","0","0","0","0","PICK-UP"
"FORD","PC","1","5","C","FORD RANGER TREKKER 4X2 TDCI M/T","0","0","0","740000","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER WILD TRAK M/T","0","0","0","0","760000","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER WILD TRAK 2.2 4X2 A/T","0","1135000","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER WILD TRAK 2.2 4X2 M/T","1219000","0","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER WILD TRAK 2.2 4X4 A/T","1449000","1280000","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER WILD TRAK 2.2 4X4 M/T","1379000","1215000","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER WILD TRAK 3.2 4X4 A/T","1559000","1375000","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER WILD TRAK 3.2 4X4 M/T","1490000","0","0","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER XL 4X2 M/T","0","0","0","0","555000","0","435000","385000","PICK-UP"
"FORD","PC","1","5","B","FORD RANGER XLT 2.2 4X4 TDCI M/T","0","0","850000","0","0","0","0","0","PICK-UP"
"FORD","PC","1","5","B","FORD TREKKER FURY 4X2 A/T","0","0","0","0","0","625000","555000","0","SUV"
"FORD","PC","1","5","B","FORD TREKKER FURY 4X2 M/T","0","0","0","0","0","590000","0","0","SUV"
"FOTON","CV","1","5","B","FOTON BLIZZARD 2.8 4X2 M/T","0","595000","525000","0","0","0","0","0","PICK-UP"
"FOTON","CV","1","5","A","FOTON BLIZZARD 2.8  M/T","0","0","0","0","445000","395000","345000","0","PICK UP"
"FOTON","CV","1","5","B","FOTON BLIZZARD 2.8 4X2 TURBO M/T","0","630000","555000","0","0","0","0","0","PICK-UP"
"FOTON","CV","1","5","B","FOTON BLIZZARD 2.8 4X2 LTD TURBO M/T","0","0","690000","0","0","0","0","0","PICK-UP"
"FOTON","CV","1","5","B","FOTON BLIZZARD 2.8 4X4 TURBO M/T","0","0","710000","0","0","0","0","0","PICK-UP"
"FOTON","CV","1","5","B","FOTON BLIZZARD 2.8 4X4 LTD TURBO M/T","0","0","830000","0","0","0","0","0","PICK-UP"
"FOTON","CV","1","5","B","FOTON BLIZZARD LCV LTD EDT  M/T","0","695000","615000","0","0","0","0","0","PICK-UP"
"FOTON","CV","1","3","B","FOTON BLIZZARD S/CAB C/C  M/T","0","515000","455000","400000","0","0","0","0","AUV"
"FOTON","CV","1","3","B","FOTON BLIZZARD S/CAB LCV DAC M/T","0","0","0","515000","0","0","0","0","AUV"
"FOTON","CV","1","3","B","FOTON BLIZZARD S/CAB S A/C LCV M/T","0","600000","530000","0","0","0","0","0","AUV"
"FOTON","CV","1","3","B","FOTON BLIZZARD S/CAB S A/C LVC M/T","0","0","0","490000","0","0","0","0","AUV"
"FOTON","CV","1","3","C","FOTON ETX415 TRACTOR HEAD 4X2 M/T","0","0","1985000","1750000","1540000","0","0","0","PICK UP"
"FOTON","CV","1","3","C","FOTON ETX415 TRACTOR HEAD 6X4 M/T","0","0","2780000","0","0","0","0","0","PICK UP"
"FOTON","CV","1","3","B","FOTON HURRICANE C&C  M/T","0","1585000","1395000","0","0","0","0","0","CAB & CHASIS"
"FOTON","PC","1","10","C","FOTON MPX VAN 10STR M/T","0","0","0","805000","0","0","0","0","VAN"
"FOTON","PC","1","12","B","FOTON MPX VAN 12STR M/T","0","0","0","835000","0","0","0","0","VAN"
"FOTON","PC","1","5","C","FOTON MPX VAN  M/T","0","0","0","0","0","0","555000","0","SUV"
"FOTON","CV","1","11","C","FOTON MPX VAN 11-SEATER  M/T","0","0","845000","0","0","0","0","0","VAN"
"FOTON","PC","1","8","B","FOTON MPX VAN LTHR 8STR M/T","0","0","0","835000","765000","0","0","0","VAN"
"FOTON","CV","1","3","B","FOTON THUNDER 4X2 M/T","0","795000","675000","0","0","0","0","0","PICK UP"
"FOTON","CV","1","3","A","FOTON TORNADO 2 DOUBLE CAB  M/T","0","655000","580000","0","0","0","0","0","MPV"
"FOTON","CV","1","17","C","FOTON TORNADO 2 MPV AV M/T","0","0","0","555000","0","0","0","0","MPV"
"FOTON","CV","1","17","B","FOTON TORNADO 2 MPV D A/C  M/T","0","775000","685000","605000","0","0","0","0","MPV"
"FOTON","CV","1","17","C","FOTON TORNADO 2 MPV S A/C  M/T","0","740000","655000","575000","0","0","0","0","MPV"
"FOTON","CV","1","3","C","FOTON TORNADO 2 S A/C C&C M/T","0","620000","550000","485000","0","0","0","0","CAB & CHASIS"
"FOTON","CV","1","3","B","FOTON TORNADO 2-E C&C AV M/T","0","560000","495000","435000","0","0","0","0","CAB & CHASIS"
"FOTON","CV","1","3","B","FOTON TORNADO 2-E MPV 11-FT M/T","0","685000","605000","0","0","0","0","0","MPV"
"FOTON","CV","1","3","B","FOTON TORNADO 2.5 C&C M/T","0","595000","525000","480000","0","0","0","0","CAB & CHASIS"
"FOTON","CV","1","3","B","FOTON TORNADO 3.5 C&C M/T","0","690000","610000","550000","0","0","0","0","CAB & CHASIS"
"FOTON","PC","1","5","B","FOTON TORNADO MPV  M/T","0","0","0","0","0","0","445000","395000","MPV"
"FOTON","CV","1","3","B","FOTON VIEW AMBULANCE  M/T","0","0","0","680000","0","0","0","0","VAN"
"FOTON","CV","1","3","B","FOTON VIEW CARGO VAN  M/T","0","735000","650000","0","0","0","0","0","VAN"
"FOTON","CV","1","8","A","FOTON VIEW STANDARD 15STR M/T","0","785000","695000","610000","535000","0","0","0","VAN"
